Date,Team,Acquired,Relinquished,Notes
2009-01-08, 49ers,  Tom Rathman, , hired as running backs coach
2009-01-08, Buccaneers,  Chris Bradwell, , signed free agent
2009-01-08, Buccaneers,  Kyle Arrington, , re-signed
2009-01-08, Seahawks,  Billy McMullen, , re-signed to a future contract
2009-01-08, Seahawks,  Greg Knapp, , hired as offensive coordinator
2009-01-08, Seahawks,  Joe Newton, , re-signed to a future contract
2009-01-08, Seahawks,  Josh Tereshinski, , signed free agent to a future contract
2009-01-08, Seahawks,  Kevin Brown (b), , re-signed to a future contract
2009-01-08, Seahawks,  Marquis Floyd, , re-signed to a future contract
2009-01-08, Seahawks,  Michael Bumpus, , re-signed to a future contract
2009-01-08, Seahawks, Ryan Senser, , signed free agent to a future contract
2009-01-08, Bears, ,  Mike Hass, lost free agent (to Seahawks)
2009-01-08, Browns, ,  Jed Collins, lost free agent (to Chiefs)
2009-01-08, Chiefs,  Jed Collins, , signed free agent (from Browns) to a 2-year future contract
2009-01-08, Seahawks,  Mike Hass, , signed free agent (from Bears) to a future contract
2009-01-09, Broncos,  Adam Bergen, , signed free agent to a future contract
2009-01-10, Bears,  Rod Marinelli, , hired as assistant head coach / defensive line coach
2009-01-12, Chiefs,  Ingle Martin, , signed from practice squad to a 2-year contract
2009-01-12, Colts, ,  Tony Dungy, retired as head coach
2009-01-12, Colts,  Jim Caldwell, , promoted to head coach
2009-01-12, Cowboys,  Jerome Carter, , signed free agent
2009-01-12, Cowboys,  Junior Siavii, , signed free agent
2009-01-12, Cowboys,  Matt Spanos, , signed free agent
2009-01-12, Dolphins,  Anthony Armstrong, , signed from practice squad
2009-01-12, Dolphins,  Chris Brown (a), , signed from practice squad
2009-01-12, Dolphins,  Joe Cohen, , signed from practice squad
2009-01-12, Dolphins,  Lex Hilliard, , signed from practice squad
2009-01-12, Dolphins,  Scorpio Babers, , signed from practice squad
2009-01-12, Dolphins,  Tearrius George, , signed free agent (date 02-02 per NFL)
2009-01-12, Dolphins,  Todd Lowber, , signed from practice squad
2009-01-12, Dolphins,  Will Billingsley, , signed from practice squad
2009-01-12, Jaguars,  Alvin Pearman (b), , re-signed
2009-01-12, Jaguars,  Andy Dengler, , hired as national scout
2009-01-12, Jaguars,  Charles Davis, , re-signed
2009-01-12, Jaguars,  Charles Spencer, , signed free agent
2009-01-12, Jaguars,  Gene Smith, , promoted to GM and senior VP of player personnel
2009-01-12, Jaguars,  Terry McDonough, , promoted to director of player personnel
2009-01-12, Jaguars,  Tim Mingey, , hired as assistant director of college personnel
2009-01-12, Seahawks,  Casey Bradley, , hired as defensive coordinator
2009-01-12, Seahawks,  Dan Quinn, , hired as assistant head coach / defensive line coach
2009-01-12, Patriots, ,  Josh McDaniels, resigned as offensive coordinator (date approximate)
2009-01-12, Broncos,  Josh McDaniels, ," hired as head coach, signed to a 4-year contract"
2009-01-13, Bears,  Jon Hoke, , hired as defensive backs coach
2009-01-13, Cardinals, Jerame Tuman, , signed free agent
2009-01-13, Falcons,  Les Snead, , promoted to director of player personnel
2009-01-13, Texans,  Frank Bush, , hired as defensive coordinator
2009-01-13, Cowboys, ,  Marcus Thomas (b), lost free agent (to Browns)
2009-01-13, Patriots, ,  Scott Pioli, resigned as VP of player personnel (date approximate)
2009-01-13, Browns,  Marcus Thomas (b), , signed free agent (from Cowboys) to a future contract
2009-01-13, Chiefs,  Scott Pioli, , hired as GM
2009-01-14, Browns,  Brad Seely, , hired as special teams coordinator
2009-01-14, Browns,  Brian Daboll, , hired as offensive coordinator
2009-01-14, Browns,  Rob Ryan, , hired as defensive coordinator
2009-01-14, Titans,  Charles Bennett (b), , signed from practice squad
2009-01-14, Titans,  Christian Morton, , signed free agent
2009-01-14, Titans,  Craphonso Thorpe, , signed free agent
2009-01-14, Titans,  Derrick Jones, , signed from practice squad
2009-01-14, Titans,  Doug Datish, , signed from practice squad
2009-01-14, Titans,  Fernando Velasco, , signed from practice squad
2009-01-14, Titans,  Jason Murphy, , signed from practice squad
2009-01-14, Titans,  Matthew Mulligan, , signed from practice squad
2009-01-14, Titans,  Peter Clifford / Pete Clifford, , signed free agent
2009-01-14, Titans,  Tanard Davis, , signed from practice squad
2009-01-15, Bills,  Brandon Rodd, , signed from practice squad to a future contract
2009-01-15, Bills,  C.J. Hawthorne, , signed from practice squad to a future contract
2009-01-15, Bills,  Chris Denman, , signed from practice squad to a future contract
2009-01-15, Bills,  Felton Huggins, , signed from practice squad to a future contract
2009-01-15, Bills,  Mike Jefferson, , signed from practice squad to a future contract
2009-01-15, Bills,  Vince Hall, , signed from practice squad to a future contract
2009-01-15, Dolphins,  Dave DeGuglielmo, , hired as offensive line coach
2009-01-15, Giants,  Andre' Woodson / Andre Woodson, , signed from practice squad to a future contract
2009-01-15, Giants,  Cliff Louis, , signed from practice squad to a future contract
2009-01-15, Giants,  Dwayne Wright, , signed free agent to a future contract
2009-01-15, Giants,  Martrez Milner, , signed from practice squad to a future contract
2009-01-15, Giants,  Micah Rucker, , signed from practice squad to a future contract
2009-01-15, Giants,  Mike Fladell, , signed from practice squad to a future contract
2009-01-15, Giants,  Orrin Thompson, , signed free agent to a future contract
2009-01-15, Giants,  Taye Biddle, , signed from practice squad to a future contract
2009-01-15, Giants,  Travonti Johnson, , signed from practice squad to a future contract
2009-01-15, Lions,  Jim Schwartz, , hired as head coach
2009-01-15, Packers,  Curtis Fuller, , hired as assistant special teams coach
2009-01-15, Packers,  Shawn Slocum, , promoted to special teams coordinator
2009-01-15, Rams, ,  Jim Haslett, fired as interim head coach
2009-01-15, Saints,  Gregg Williams, , hired as defensive coordinator
2009-01-16, Buccaneers, ,  Bruce Allen, fired as GM
2009-01-16, Buccaneers, ,  John Gruden, fired as head coach
2009-01-16, Buccaneers,  Joe Barry, , hired as linebackers coach
2009-01-16, Cardinals,  Tyler Palko, , signed free agent to a future contract
2009-01-16, Cardinals,  Waylon Prather, , signed free agent to a future contract
2009-01-16, Cowboys, ,  Brian Stewart, fired as defensive coordinator
2009-01-16, Dolphins,  Chad Pennington, , re-signed
2009-01-16, Giants,  Terrance Pennington, , signed free agent
2009-01-16, Giants, Steve Cargile, , signed free agent
2009-01-16, Panthers,  Casper Brinkley, , re-signed to a future contract
2009-01-16, Panthers,  DeCori Birmingham, , re-signed to a future contract
2009-01-16, Panthers,  Jeremy Leman / J Leman, , signed free agent to a future contract
2009-01-16, Panthers,  Joe Fields, , re-signed to a future contract
2009-01-16, Panthers,  Jonathan Palmer, , re-signed to a future contract
2009-01-16, Panthers,  Kevin McMahan, , re-signed to a future contract
2009-01-16, Panthers,  Lorenzo Williams, , re-signed to a future contract
2009-01-16, Lions, ,  Ben Claxton, lost free agent (to Cardinals)
2009-01-16, Redskins, ,  Nehemiah Broughton, lost free agent (to Panthers)
2009-01-16, Cardinals,  Ben Claxton, , signed free agent (from Lions) to a future contract
2009-01-16, Panthers,  Nehemiah Broughton, , signed free agent (from Redskins) to a future contract
2009-01-17, Buccaneers,  Raheem Morris, , promoted to head coach
2009-01-17, Buccaneers, Mark Dominik, , hired as GM
2009-01-17, Giants, ,  Steve Spagnuolo, resigned as defensive coordinator (date approximate)
2009-01-17, Rams,  Steve Spagnuolo, ," hired as head coach, signed to a 4-year, $11.5M contract"
2009-01-19, Dolphins,  Cameron Wake, , signed free agent to a 4-year contract
2009-01-19, Dolphins,  Ethan Kilmer, , signed free agent
2009-01-19, Giants,  Bill Sheridan, , promoted to defensive coordinator
2009-01-19, Texans,  David Gibbs, , hired as defensive backs coach
2009-01-19, Ravens, ,  Rex Ryan, resigned as assistant head coach (date approximate)
2009-01-19, Jets,  Rex Ryan, , hired as head coach
2009-01-20, Broncos,  Adam Gase, , hired as wide receivers coach
2009-01-20, Broncos,  Ed Donatelli (E) / Ed Donatell?, , hired as secondary coach
2009-01-20, Broncos,  Mike McCoy, , hired as offensive coordinator / quarterbacks coach
2009-01-20, Broncos,  Mike Priefer, , hired as special teams coordinator
2009-01-20, Broncos,  Wayne Nunnely, , hired as defensive line coach
2009-01-20, Chargers,  Don Johnson (a)?, , hired as defensive line coach
2009-01-20, Chargers,  Steve Wilks, , hired as secondary coach
2009-01-20, Colts, ,  Ron Meeks, resigned as defensive coordinator
2009-01-20, Eagles,  Danny Amendola, , re-signed
2009-01-20, Eagles,  Shaheer McBride, , re-signed
2009-01-20, Eagles,  Trae Williams, , re-signed
2009-01-20, Texans,  Bill Kollar, , hired as defensive line coach
2009-01-21, Broncos,  Ben McDaniels, , hired as assistant coach
2009-01-21, Broncos,  Don Martindale, , hired as linebackers coach
2009-01-21, Broncos,  Jay Rodgers, , hired as assistant coach
2009-01-21, Chargers,  Cris Dishman, , hired as assistant secondary coach
2009-01-21, Chargers,  Greg Williams (b), , hired as assistant linebackers coach
2009-01-21, Giants,  Anthony Bryant, , signed free agent
2009-01-21, Jaguars,  Montell Owens, , re-signed to a contract extension
2009-01-21, Lions,  Gunther Cunningham, , hired as defensive coordinator
2009-01-22, 49ers,  Jimmy Williams (c), , signed
2009-01-22, Browns,  Andy Dickerson, , hired as defensive quality control coach
2009-01-22, Browns,  Bryan Cox (a), , hired as assistant defensive line coach
2009-01-22, Browns,  Carl Smith, , hired as quarterbacks coach
2009-01-22, Browns,  Jerome Henderson, , hired as defensive backs coach
2009-01-22, Browns,  Rick Lyle, , hired as assistant strength and conditioning coach
2009-01-22, Buccaneers,  Jim Bates, , hired as defensive coordinator
2009-01-22, Giants,  Jim Herrmann, , hired as linebackers coach
2009-01-22, Jets,  Mike Pettine, , hired as defensive coordinator
2009-01-22, Panthers,  Rip Scherer, , hired as quarterbacks coach
2009-01-22, Rams,  Ken Flajole, , hired as defensive coordinator
2009-01-22, Rams,  Pat Shurmur, , hired as offensive coordinator
2009-01-22, Seahawks,  Tim Lewis, , hired as defensive backs coach
2009-01-23, Broncos,  Clancy Barone, , hired as tight ends coach
2009-01-23, Chiefs, ,  Herman Edwards, fired as head coach
2009-01-23, Lions,  Scott Linehan, , hired as offensive coordinator
2009-01-23, Buccaneers, ,  Micheal Spurlock, lost free agent from practice squad (to 49ers)
2009-01-23, 49ers,  Micheal Spurlock, , signed free agent (from Buccaneers) to a future contract
2009-01-24, Jets,  Brandon Renkart, , signed from practice squad to active roster
2009-01-24, Jets,  Brian Schaefering, , signed from practice squad
2009-01-24, Jets,  Huey Whittaker, , signed free agent
2009-01-24, Jets,  Jeff Weeks, , hired as defensive assistant coach
2009-01-24, Jets,  Jehuu Caulcrick, , signed from practice squad
2009-01-24, Jets,  Kareem Brown, , signed from practice squad
2009-01-24, Jets,  Kenwin Cummings, , signed from practice squad
2009-01-24, Jets,  Marcus Henry (a), , signed from practice squad
2009-01-24, Jets,  Marcus Mason, , signed free agent
2009-01-24, Jets,  Noah Herron, , signed free agent
2009-01-24, Jets,  Ropati Pitoitua, , signed from practice squad (CBC)
2009-01-24, Jets,  Stanley Daniels, , signed from practice squad
2009-01-24, Jets, Jim O'Neil, , hired as defensive quality control coach
2009-01-24, Giants, ,  Paul Raymond, lost free agent (to Jets)
2009-01-24, Jets,  Paul Raymond, , signed free agent (from Giants)
2009-01-25, Browns,  George Kokinis, , hired as GM
2009-01-26, Bills,  Buddy Nix, , hired as national college scout
2009-01-26, Broncos,  Mike Nolan, , hired as defensive coordinator
2009-01-26, Browns, ,  T.J. McCreight, resigned as director of player personnel
2009-01-26, Cowboys,  Mike Hawkins (b)?, , signed free agent to a future contract
2009-01-26, Cowboys,  Tim Anderson (b), , signed free agent to a future contract
2009-01-26, Panthers,  Ron Meeks, , hired as defensive coordinator
2009-01-26, Ravens,  Greg Mattison, , promoted to defensive coordinator
2009-01-26, Ravens,  Jerry Rosburg, , promoted to assistant head coach
2009-01-26, Ravens,  Vic Fangio, , promoted to linebackers coach
2009-01-26, Titans,  LaJuan Ramsey, , signed free agent
2009-01-26, Titans,  Larry Birdine, , signed free agent
2009-01-27, Bills,  P.K. Sam, , signed unrestricted free agent
2009-01-27, Chargers,  Andre Coleman, , signed from practice squad to a 2-year contract
2009-01-27, Chargers,  Brandyn Dombrowski, , signed from practice squad to a 2-year contract
2009-01-27, Chargers,  DeJuan Tribble, , signed from practice squad to a 1-year contract
2009-01-27, Chargers,  Eldra Buckley, , signed from practice squad to a 2-year contract
2009-01-27, Chargers,  Gary Banks, , signed from practice squad to a 2-year contract
2009-01-27, Chargers,  Grant Mason, , signed free agent to a 2-year contract
2009-01-27, Chargers,  Mike Sullivan, , hired as offensive line coach
2009-01-27, Chargers,  Ogemdi Nwagbuo, , signed from practice squad to a 2-year contract
2009-01-27, Patriots,  Floyd Reese, , hired as senior football advisor
2009-01-27, Rams,  Charlie Baggett, , hired as wide receivers coach
2009-01-27, Ravens,  Anwar Phillips, , signed from practice squad to a future contract
2009-01-27, Ravens,  Brian Johnson, , signed from practice squad to a future contract
2009-01-27, Ravens,  Bryan Mattison, , signed from practice squad to a future contract
2009-01-27, Ravens,  Edward Williams (b), , signed from practice squad to a future contract
2009-01-27, Ravens,  Ernie Wheelwright (b), , signed from practice squad to a future contract
2009-01-27, Ravens,  Isaac Smolko / Issac Smolko, , signed from practice squad to a future contract
2009-01-27, Ravens,  Joe Reitz, , signed from practice squad to a future contract
2009-01-27, Ravens,  Justin Harper, , signed from practice squad to a future contract
2009-01-27, Ravens,  Matt Lawrence, , signed from practice squad to a future contract
2009-01-27, Ravens,  Tre' Stallings, , signed from practice squad to a future contract
2009-01-27, 49ers, , Eric Bakhtiari, lost free agent (to Chargers)
2009-01-27, Saints, ,  Marvin Philip, lost free agent (to Bills)
2009-01-27, Bills,  Marvin Philip, , signed free agent (from Saints)
2009-01-27, Chargers, Eric Bakhtiari, , signed free agent (from 49ers) to a 2-year contract
2009-01-28, Bills,  Bob Sanders, , hired as defensive line coach
2009-01-28, Buccaneers,  Anthony Mix, , signed free agent to a 2-year contract
2009-01-28, Chargers,  Rob Chudzinski, , hired as tight ends coach and assistant head coach
2009-01-28, Jets,  Anthony Lynn, , hired as running backs coach
2009-01-28, Jets,  Dennis Thurman, , hired as secondary coach
2009-01-28, Jets,  Doug Plank, , hired as assistant secondary coach
2009-01-28, Jets,  Henry Ellard, , hired as wide receivers coach
2009-01-28, Rams,  Andre Curtis, , hired as assistant coach
2009-01-28, Rams,  Bruce Warwick, , hired as assistant coach
2009-01-28, Ravens,  Eric DeCosta, , promoted to director of player personnel
2009-01-28, Ravens,  Joe Hortiz, , hired as irector of college scouting
2009-01-28, Ravens,  Vince Newsome, , promoted to director of pro personnel
2009-01-29, Buccaneers,  Jeff Jagodzinski, , hired as offensive coordinator
2009-01-29, Buccaneers, Pete Mangurian, , hired as offensive line coach
2009-01-29, Jets,  Tyron Brackenridge, , signed free agent to a future contract
2009-01-29, Panthers,  Geoff Schwartz, , re-signed to a future contract
2009-01-29, Eagles, ,  Babatunde Oshinowo, lost free agent (to Panthers)
2009-01-29, Patriots, ,  Maurice Price, lost free agent (to 49ers)
2009-01-29, 49ers,  Maurice Price, , signed free agent (from Patriots) to a future contract
2009-01-29, Panthers,  Babatunde Oshinowo, , signed free agent (from Eagles) to a future contract
2009-01-30, 49ers,  Jimmy Raye, , hired as offensive coordinator
2009-01-30, Eagles, ,  Pete Jenkins, retired as defensive line coach
2009-01-30, Eagles,  Doug Pederson, , hired as offensive quality control coach
2009-01-30, Eagles,  James Urban, , hired as quarterbacks coach
2009-01-30, Eagles,  Rory Segrest, , hired as defensive line coach
2009-01-30, Eagles,  Ted Daisher, , hired as special teams coordinator
2009-01-30, Rams,  Kevin Demoff, , hired as executive VP of football operations and COO
2009-02-02, Rams,  Sylvester Croom, , hired as running backs coach
2009-02-02, Redskins,  Dave Rayner, , signed free agent
2009-02-03, Buccaneers,  Chris Keenan, , hired as assistant strength and conditioning coach
2009-02-03, Buccaneers,  Doug Williams, , hired as coordinator of pro scouting
2009-02-03, Buccaneers,  Dwayne Stukes, , hired as assistant defensive backs coach
2009-02-03, Buccaneers,  Joe Baker, , hired as defensive backs coach
2009-02-03, Buccaneers,  Kurt Shultz, , hired as head strength and conditioning coach
2009-02-03, Buccaneers,  Robert Nunn, , hired as defensive line coach
2009-02-03, Eagles,  Byron Parker, , signed free agent to a 3-year contract
2009-02-03, Eagles,  Charleston Hughes, , signed free agent to a 3-year contract
2009-02-03, Packers,  Chad Morton, , hired as coaching administrator
2009-02-03, Packers,  Darren Perry, , hired as secondary and safeties coach
2009-02-03, Packers,  Dave Redding, , hired as strength & conditioning coordinator
2009-02-03, Packers,  Joe Whitt Jr., , promoted to secondary and cornerbacks coach
2009-02-03, Packers,  John Rushing, , hired as offensive quality control coach
2009-02-03, Packers,  Kevin Greene (a), , hired as outside linebackers coach
2009-02-03, Packers,  Scott McCurley, , hired as defensive quality control coach
2009-02-03, Packers, Mike Trgovac, , hired as defensive line coach
2009-02-03, Patriots,  Bill O'Brien, , hired as quarterbacks coach
2009-02-03, Patriots,  Josh Boyer, , hired as defensive backs coach
2009-02-03, Patriots,  Scott O'Brien, , hired as special teams coach
2009-02-03, Rams,  Art Valero, , hired as assistant offensive line coach
2009-02-03, Panthers, ,  Brett Basanez, lost free agent (to Bears)
2009-02-03, Titans, ,  Amon Gordon, lost off waivers (to Eagles)
2009-02-03, Bears,  Brett Basanez, , signed free agent (from Panthers) to a 2-year contract
2009-02-03, Eagles,  Amon Gordon, , claimed off waivers (from Titans)
2009-02-04, Cardinals,  Ben Claxton, , signed from practice squad
2009-02-04, Cardinals,  Dennis Keyes, , re-signed from practice squad to a 1-year future contract
2009-02-04, Cardinals,  Justin Green, , signed free agent
2009-02-04, Cardinals,  Keilen Dykes, , re-signed from practice squad to a 1-year future contract
2009-02-04, Cardinals,  Lance Long, , re-signed from practice squad to a 1-year future contract
2009-02-04, Cardinals,  Onrea Jones, , re-signed from practice squad to a 1-year future contract
2009-02-04, Cardinals,  Tyler Palko, , signed from practice squad
2009-02-04, Cardinals,  Waylon Prather, , signed from practice squad
2009-02-04, Cardinals,  Wilrey Fontenot, , re-signed from practice squad to a 1-year future contract
2009-02-04, Raiders,  Tom Cable, , promoted to head coach
2009-02-04, Rams,  Mike Williams, , hired as director of pro personnel
2009-02-04, Redskins,  Dominique Dorsey, , signed free agent
2009-02-05, Falcons, ,  Todd Weiner, retired
2009-02-05, Jets,  Kerry Locklin, , hired as defensive line coach
2009-02-05, Patriots,  Matt Cassel, , player designated as franchise player by team
2009-02-05, Redskins,  Scott Wachenheim, , hired as tight ends coach
2009-02-05, Lions, ,  Chris Roberson, lost free agent (to Vikings)
2009-02-05, Vikings,  Chris Roberson, , signed free agent (from Lions) to a future contract
2009-02-06, Chiefs,  Todd Haley, , hired as head coach
2009-02-06, Vikings,  Kenny Onatolu, , signed free agent
2009-02-07, Cardinals, ,  Clancy Pendergast, fired as defensive coordinator
2009-02-08, Redskins,  Isaiah Ross, , signed from practice squad
2009-02-08, Redskins,  Jeremy Cain, , signed free agent
2009-02-08, Redskins,  Jonathan Evans, , signed free agent
2009-02-08, Redskins,  Marques Hagans, , signed from practice squad
2009-02-08, Redskins,  Michael Grant, , signed from practice squad
2009-02-08, Redskins,  Rueben Riley, , signed from practice squad
2009-02-08, Redskins,  Zacrey Atterberry / Zac Atterberry, , signed free agent
2009-02-09, Browns, ,  Bruce Gradkowski, waived
2009-02-09, Browns, ,  Eric Young, waived
2009-02-09, Browns, ,  Jason Reda, waived
2009-02-09, Browns, ,  Ken Dorsey, released
2009-02-09, Browns, ,  Mike Dragosavich, waived
2009-02-09, Browns, ,  Terry Cousin, released
2009-02-09, Buccaneers,  Luke McCown, , re-signed
2009-02-09, Giants,  Al Holcomb, , hired as defensive quality control coach
2009-02-09, Giants,  David Carr (a), , re-signed to a 1-year contract
2009-02-09, Jets,  John DeFilippo, , hired as assistant quarterbacks coach
2009-02-09, Jets,  Matt Cavanaugh, , hired as quarterbacks coach
2009-02-09, Lions, ,  Jonathan Dunn (CBC) / Jon Dunn (CBS E), released
2009-02-09, Lions, ,  Leigh Bodden, released
2009-02-09, Rams,  Andy Sugarman, , hired as assistant coach
2009-02-09, Rams,  Clayton Lopez, , hired as assistant coach
2009-02-09, Rams,  Derius Swinton II, , hired as assistant coach
2009-02-09, Browns, , Antwan Peek, released
2009-02-09, Giants, ,  Sam Madison, released
2009-02-09, Giants, ,  Sammy Knight, released
2009-02-09, Giants, , Reuben Droughns, released
2009-02-09, Lions, ,  Dan Campbell (A.), released
2009-02-09, Lions, ,  Dwight Smith, released
2009-02-09, Lions, ,  Mike Furrey, released
2009-02-09, Lions, , Edwin Mulitalo, released
2009-02-10, 49ers, ,  Keith Lewis (a), released
2009-02-10, 49ers, ,  Tully Banta-Cain, released
2009-02-10, Dolphins, ,  Kelvin Smith, waived
2009-02-10, Dolphins, , Matt McChesney, waived
2009-02-10, Jets, ,  David Barrett, waived
2009-02-10, Panthers,  Richard Smith, , hired as linebackers coach
2009-02-10, Panthers,  Ron Milus, , hired as secondary coach
2009-02-10, Raiders,  Bruce Gradkowski, , claimed off waivers (from Browns)
2009-02-10, Texans, ,  Ahman Green, waived
2009-02-10, Texans, ,  Morlon Greenwood, waived
2009-02-11, Broncos, ,  Alex Haynes, waived
2009-02-11, Broncos, ,  Anthony Alridge, waived
2009-02-11, Broncos, ,  Chad Mustard, waived
2009-02-11, Broncos, ,  Clifford Russell (CBS E NFL PFW) / Cliff Russell (CBC E SN), waived
2009-02-11, Broncos, ,  P.J. Pope, waived
2009-02-11, Buccaneers,  Alfredo Roberts, , hired as tight ends coach
2009-02-11, Buccaneers,  Chris Mosley, , hired as offensive line coach
2009-02-11, Buccaneers,  Jay Kaiser, , hired as assistant head coach
2009-02-11, Buccaneers,  Richard Mann, , promoted to assistant head coach / wide receivers coach
2009-02-11, Buccaneers,  Steve Logan, , hired as running backs coach
2009-02-11, Jaguars, ,  Drayton Florence, waived
2009-02-11, Jaguars, ,  Jerry Porter, waived
2009-02-11, Jets, ,  Brett Favre, retired
2009-02-11, Lions,  Bob Karmelowicz, , hired as defensive line coach
2009-02-11, Lions,  Daron Roberts, , hired as assistant secondary coach
2009-02-11, Lions,  George Yarno, , hired as offensive line coach
2009-02-11, Lions,  Jeff Horton, , hired as quarterbacks coach
2009-02-11, Lions,  Kris Kocurek, , hired as assistant defensive line coach
2009-02-11, Lions,  Matt Burke, , hired as linebackers coach
2009-02-11, Lions,  Tim Walton, , hired as secondary coach
2009-02-11, Lions,  Todd Downing, , hired as offensive quality control coach
2009-02-11, Lions, Tim Lappano, , hired as tight ends coach
2009-02-11, Redskins,  Byron Westbrook, , re-signed
2009-02-11, Redskins, Chip Garber, , hired as defensive quality control coach
2009-02-11, Steelers,  Ryan Mundy, , re-signed from practice squad
2009-02-12, Bengals,  Daniel Coats, , signed
2009-02-12, Broncos, ,  Josh Shaw (a), waived
2009-02-12, Broncos,  Brian Xanders, , promoted to GM
2009-02-12, Broncos,  Matt McChesney, , signed unrestricted free agent
2009-02-12, Falcons,  Marcus Paschal, , signed free agent
2009-02-12, Falcons,  Ronnie Prude, , signed free agent
2009-02-12, Falcons,  Thomas Johnson, , signed free agent
2009-02-12, Falcons,  Will Svitek, , signed free agent
2009-02-12, Jaguars,  Joe Zelenka, , re-signed to a 1-year contract extension
2009-02-12, Lions,  James Harris, , hired as senior personnel executive
2009-02-12, Patriots,  Jon Robinson (a), , hired as director of college scouting
2009-02-12, Patriots,  Monti Ossenfort, , hired as national scout
2009-02-12, Patriots,  Shane Waldron, , hired as tight ends coach
2009-02-12, Raiders,  Chris Johnson (a), , re-signed to a 4-year caontract
2009-02-12, Redskins, ,  Ryan Plackemeier, waived
2009-02-12, Saints, ,  David Patten, waived
2009-02-12, Steelers,  Brandon Williams (b), , signed free agent
2009-02-12, Steelers,  Dallas Baker, , signed free agent
2009-02-12, Steelers,  Dezmond Sherrod, , re-signed
2009-02-12, Steelers,  Donovan Woods, , re-signed
2009-02-12, Steelers,  Doug Legursky, , re-signed
2009-02-12, Steelers,  Justin Vincent, , re-signed
2009-02-12, Steelers,  Roy Lewis, , re-signed
2009-02-12, Steelers,  Ryan Powdrell, , signed free agent
2009-02-12, Steelers,  Stefan Logan, , signed free agent
2009-02-12, Titans,  Chuck Cecil, , hired as defensive coordinator
